# NextExplorer — Italiano (it). key<TAB>value.
common.cancel	Annulla
favorites.editTitle	Modifica preferito
favorites.editNameLabel	Nome
favorites.editNameErrorEmpty	Il nome non può essere vuoto.
favorites.editIconLabel	Icona
favorites.editIconOutline	Contorno
favorites.editIconSolid	Pieno
favorites.editColorLabel	Colore
favorites.editColorDefault	Predefinito
favorites.editSave	Salva
favorites.reorderFailed	Impossibile salvare il nuovo ordine.
favorites.removeConfirm	Rimuovere %lld preferiti?
favorites.removeMessage	Questo li rimuove solo dai Preferiti.
favorites.removeFailedOne	Impossibile rimuovere quel preferito.
favorites.removeFailedMany	Impossibile rimuovere quei preferiti.
favorites.removePartial	Rimossi %1$lld di %2$lld.
downloads.navigationTitle	Download
downloads.actionOpenInFiles	Apri in File
downloads.emptyList	I file che scarichi da Esplora appaiono qui.
downloads.deleteConfirmTitle	Eliminare?
downloads.deleteConfirmOne	Eliminare “%@”?
downloads.deleteConfirmMany	Eliminare %lld file?
downloads.deleteSingleMessage	Questo rimuove solo la copia locale. Il file resta sul server.
downloads.deleteBulkMessage	Questo rimuove solo le copie locali. I file restano sul server.
downloads.errorNameExists	Esiste già un file con quel nome.
downloads.errorInvalidName	Quel nome non è consentito.
downloads.errorMissing	Impossibile trovare più quel file.
downloads.errorGeneric	Impossibile completare l'azione.
unsupportedPreview.genericType	File
unsupportedPreview.cannotOpen	Questa app non può aprire questo tipo di file.
uploads.navigationTitle	Caricamenti
uploads.menuTitle	Carica
uploads.actionUploadFromFiles	Carica da File
uploads.actionUploadFromPhotos	Carica dalla galleria
uploads.actionTakePhoto	Scatta foto o video
uploads.cameraDeniedTitle	Accesso alla fotocamera necessario
uploads.cameraDeniedMessage	Consenti l'accesso alla fotocamera in Impostazioni per scattare una foto o un video.
uploads.destinationTitle	Carica in…
uploads.destinationConfirm	Carica qui
uploads.reviewTitleOne	Carica 1 file
uploads.reviewTitleMany	Carica %lld file
uploads.reviewSectionFiles	File
uploads.reviewSectionPath	Percorso
uploads.reviewSectionSize	Dimensione totale
uploads.reviewChooseFolder	Scegli una cartella
uploads.reviewUploadButton	Carica
uploads.reviewPreparing	Preparazione di %lld…
uploads.reviewAddMore	Aggiungi altri file
uploads.reviewPreviewFile	Anteprima di %@
uploads.reviewInsecureNetworkNotice	Connesso tramite http. Se questo server è solo sulla tua rete domestica, i caricamenti non funzioneranno quando sei lontano da essa.
uploads.stagingFailed	Impossibile aggiungere quei file. Riprova.
uploads.stagingSkipped	%lld elementi non sono stati preparati e sono stati esclusi.
uploads.discardTitle	Scartare il caricamento?
uploads.discardMessage	I file che hai aggiunto non verranno caricati.
uploads.discardConfirm	Scarta
uploads.statusWaiting	In attesa
uploads.statusFailed	Caricamento non riuscito
uploads.barTitleOne	Caricamento di %@
uploads.barTitleMany	Caricamento di %lld file
uploads.barFailedOne	1 caricamento non riuscito
uploads.barFailedMany	%lld caricamenti non riusciti
uploads.retryAll	Riprova tutto
uploads.complete	Caricamento completato
uploads.completeMany	%lld file caricati
uploads.completeWithFailures	%1$lld caricati, %2$lld non riusciti
uploads.failedGeneric	Impossibile caricare questo file.
uploads.clear	Cancella
uploads.emptyList	Ancora nessun caricamento.
uploads.cancelAll	Annulla tutti i caricamenti
shared.navigationTitle	Condivisi
shared.segmentByMe	Da me
shared.segmentWithMe	Con me
shared.sectionExpired	Scaduti
shared.badgeExpired	scaduto
shared.emptyByMe	Condividi un file o una cartella per vederne il link qui.
shared.emptyWithMe	I link che altri condividono con te appaiono qui.
shared.noSearchMatches	Nessun elemento condiviso corrisponde a “%@”.
shared.deleteTitle	Eliminare il link di condivisione?
shared.deleteMessage	Il link smette di funzionare immediatamente. Il file o la cartella non viene toccato.
shared.sharedByUnknown	Qualcuno
shared.metaAccess	Accesso
shared.metaExpiration	Scadenza
shared.metaSharedBy	Condiviso da
shared.metaSharedWith	Condiviso con
shared.anyoneWithLink	Chiunque abbia il link
shared.linkMode	Modalità link
shared.actionShareLink	Condividi link
shared.actionFolderLink	Link cartella
shared.actionFileLink	Link file
shared.moreRecipients	+%lld
shared.copiedShareLink	Link di condivisione copiato
shared.copiedFolderZip	Link ZIP della cartella copiato
shared.copiedDirectFile	Link diretto al file copiato
createShare.title	Crea link di condivisione
createShare.titleCreated	Condivisione creata
createShare.sectionLabel	Etichetta
createShare.sectionAccessMode	Modalità di accesso
createShare.sectionWhoCanAccess	Chi può accedere
createShare.sectionShareLink	Link di condivisione
createShare.fieldPassword	Password
createShare.togglePasswordProtect	Proteggi con password
createShare.toggleSetExpiration	Imposta data di scadenza
createShare.fieldExpires	Scade
createShare.submit	Crea link di condivisione
createShare.loadingUsers	Caricamento utenti…
createShare.noOtherUsers	Nessun altro utente con cui condividere.
createShare.sharingPrefix	Condivisione:
createShare.createdBanner	Link di condivisione creato correttamente!
createShare.viewInShared	Vedi in Condivisi
createShare.directLinkMode	Modalità link diretto
createShare.directFolderLink	Link ZIP diretto della cartella
createShare.directFileLink	Link diretto al file
createShare.summaryAccess	Accesso
createShare.summarySharedWith	Condiviso con
createShare.summaryPassword	Password
createShare.summaryPasswordProtected	Protetto
createShare.summaryExpires	Scade
createShare.summarySpecificPeople	Persone specifiche
createShare.errorPastExpiration	Scegli una data di scadenza futura.
editShare.title	Modifica link di condivisione
editShare.save	Salva modifiche
editShare.passwordKeepHint	Lascia vuoto per mantenere la password attuale
editShare.savedToast	Link di condivisione aggiornato
thumbnailSettings.navigationTitle	Miniature
thumbnailSettings.subtitle	Controlla come il server genera le miniature delle immagini per ogni client.
thumbnailSettings.enable	Genera miniature
thumbnailSettings.enableHelp	Disattiva per servire ovunque le immagini complete.
thumbnailSettings.quality	Qualità
thumbnailSettings.qualityHelp	Più alta appare meglio e usa più spazio.
thumbnailSettings.maxDimension	Dimensione massima
thumbnailSettings.maxDimensionHelp	Lato più lungo di una miniatura generata, in pixel.
thumbnailSettings.concurrency	Concorrenza
thumbnailSettings.concurrencyHelp	Quante miniature il server genera contemporaneamente.
thumbnailSettings.unavailable	Le impostazioni delle miniature sono disponibili solo per gli amministratori.
thumbnailSettings.saveButton	Salva modifiche
accessRules.navigationTitle	Regole di accesso alle cartelle
accessRules.subtitle	Sovrascrivi l'accesso in lettura e scrittura per percorsi specifici.
accessRules.addRule	Aggiungi regola
accessRules.empty	Nessuna regola di accesso configurata.
accessRules.emptyHint	Aggiungi una regola per sovrascrivere l'accesso a un percorso.
accessRules.pathLabel	Percorso
accessRules.pathPlaceholder	Documenti/Report
accessRules.recursive	Applica alle sottocartelle
accessRules.permissionReadWrite	Lettura e scrittura
accessRules.permissionReadOnly	Sola lettura
accessRules.permissionHidden	Nascosto
accessRules.remove	Rimuovi
accessRules.unavailable	Le regole di accesso sono disponibili solo per gli amministratori.
accessRules.saveButton	Salva modifiche
settings.rowThumbnails	Miniature
settings.rowAccessRules	Regole di accesso alle cartelle
settings.navigationTitle	Impostazioni
settings.appVersion	v. %1$@ (b. %2$@)
settings.sectionGeneral	Generali
settings.sectionDisplay	Schermo
settings.sectionStorage	Archiviazione
settings.sectionServerStorage	Archiviazione server
settings.serverStorageUsed	%1$@ di %2$@
settings.sectionLicenses	Licenze
settings.sectionLegal	Note legali
settings.sectionUsers	Utenti
settings.sectionAdmin	Amministrazione
settings.sectionInfo	Informazioni
settings.toggleShowHiddenFiles	Mostra file nascosti
settings.toggleRenderHTML	Renderizza pagine HTML
settings.toggleRenderMarkdown	Renderizza file Markdown
settings.toggleHaptics	Feedback aptico
settings.toggleShowThumbnails	Mostra miniature
settings.toggleShowExtensions	Mostra estensioni dei file
settings.toggleKeepClipboard	Mantieni elementi dopo l'incolla
settings.toggleKeepClipboardSubtitle	Gli elementi copiati restano pronti da incollare in un'altra cartella. Gli elementi spostati vengono sempre cancellati.
settings.rowDateFormat	Formato data
settings.rowThumbnailSize	Dimensione miniatura
settings.rowRemoveAllDownloads	Rimuovi tutti i download
settings.rowClearCache	Svuota cache
settings.rowOpenSourceLicenses	Licenze open source
settings.rowPrivacyPolicy	Informativa sulla privacy
settings.rowTermsOfUse	Condizioni d'uso
settings.rowUserManagement	Gestione utenti
settings.rowChangePassword	Cambia password
settings.rowServer	Server
settings.storageFootnote	Le cartelle si scaricano come ZIP, senza lasciare nulla sul server. Rimuovere i download o svuotare la cache riguarda solo questo dispositivo; sul server non viene toccato nulla.
settings.removeAllDownloadsTitle	Rimuovere tutti i download?
settings.removeAllDownloadsConfirm	Rimuovi tutto
settings.removeAllDownloadsMessage	Questo elimina ogni file scaricato da questo dispositivo. Restano sul server.
settings.clearCacheTitle	Svuotare la cache?
settings.clearCacheConfirm	Svuota
settings.clearCacheMessage	Questo cancella anteprime, miniature ed elenchi di cartelle salvati per l'uso offline. Nulla sul server viene toccato.
settings.signOutAlertTitle	Uscire?
settings.signOutMessage	Dovrai accedere di nuovo per usare i tuoi file.
settings.signOutButton	Esci
settings.signingOut	Disconnessione…
settings.dateFormatNavigationTitle	Formato data
settings.dateFormatShowTime	Mostra ora
serverDetails.navigationTitle	Server
serverDetails.changeLogo	Cambia icona
serverDetails.takePhoto	Scatta foto
serverDetails.chooseFromGallery	Carica dalla galleria
serverDetails.nameLabel	Nome del server
serverDetails.namePlaceholder	Explorer
serverDetails.nameErrorEmpty	Il nome del server non può essere vuoto.
serverDetails.urlLabel	URL del server
serverDetails.urlFootnote	L'indirizzo dove è installata la tua istanza di NextExplorer. Per cambiarlo, esci e aggiungi di nuovo il server.
serverDetails.updateButton	Aggiorna server
serverDetails.savedMessage	Dettagli del server aggiornati.
serverDetails.logoErrorTooLarge	Quell'immagine è troppo grande. Scegline una sotto i 2 MB.
serverDetails.cameraDeniedTitle	Accesso alla fotocamera disattivato
serverDetails.cameraDeniedMessage	Attiva l'accesso alla fotocamera in Impostazioni per scattare una foto.
licenses.navigationTitle	Licenze open source
licenses.sectionSoftware	Software
licenses.sectionFontSoftware	Software dei font
licenses.labelAuthor	Autore
licenses.labelOriginalVersion	Versione originale
licenses.labelModifiedVersion	Versione modificata
licenses.labelReservedFontName	Nome riservato del font
fileInfo.navigationTitleFolder	Cartella
fileInfo.rowKind	Tipo
fileInfo.rowSize	Dimensione
fileInfo.rowLocation	Posizione
fileInfo.rowDateModified	Data di modifica
fileInfo.rowDateCreated	Data di creazione
fileInfo.rowFiles	File
fileInfo.rowFolders	Cartelle
fileInfo.rowTotalSize	Dimensione totale
fileInfo.sectionServerDisk	Disco del server
fileInfo.diskFreeOf	%1$@ liberi di %2$@
fileInfo.rowDimensions	Dimensioni
fileInfo.rowCamera	Fotocamera
fileInfo.rowLens	Obiettivo
fileInfo.rowDateTaken	Data dello scatto
fileInfo.rowDuration	Durata
fileInfo.partialScan	Conteggiata una scansione parziale: questa cartella è molto grande.
permissions.title	Autorizzazioni
permissions.sectionMode	Modalità
permissions.numericLabel	Numerico
permissions.applyToEnclosed	Applica agli elementi contenuti
permissions.applyPermissions	Applica autorizzazioni
permissions.sectionOwnership	Proprietà
permissions.fieldOwner	Proprietario
permissions.fieldGroup	Gruppo
permissions.ownershipNote	Cambiare la proprietà di solito richiede privilegi di root o di amministratore sul server.
permissions.applyOwnership	Applica proprietà
permissions.scopeOwner	Proprietario
permissions.scopeGroup	Gruppo
permissions.scopeOthers	Altri
permissions.rightRead	Lettura
permissions.rightWrite	Scrittura
permissions.rightExecute	Esecuzione
archive.emptyFolder	Questa cartella è vuota.
archive.openFailed	Impossibile aprire questo file.
archive.openArchiveFailed	Impossibile aprire questo archivio.
archive.entryTooLarge	Questo elemento è troppo grande per essere aperto.
gallery.loadFailed	Impossibile caricare questa immagine.
textPreview.saved	Salvato
textPreview.loadFailed	Impossibile caricare questo file. Controlla la connessione e riprova.
userManagement.navigationTitle	Gestione utenti
userManagement.searchPrompt	Cerca utenti
userManagement.createUser	Crea utente
userManagement.badgeAdmin	Amministratore
userManagement.emptyList	Ancora nessun utente.
userManagement.noSearchMatches	Nessun utente corrisponde a “%@”.
userManagement.loadFailed	Impossibile raggiungere il server.
userManagement.sortType	Tipo
userManagement.sortName	Nome
userManagement.sortEmail	Email
userManagement.tabProfile	Profilo
userManagement.tabSecurity	Sicurezza
userManagement.tabVolumes	Volumi
userManagement.createNavigationTitle	Crea utente
userManagement.createEmailField	Email
userManagement.createEmailPlaceholder	nome@esempio.com
userManagement.createUsernameField	Nome utente (opzionale)
userManagement.createUsernamePlaceholder	Derivato dall'email
userManagement.createPasswordField	Password
userManagement.createPasswordPlaceholder	Almeno %lld caratteri
userManagement.createGrantAdminToggle	Concedi accesso amministratore
userManagement.createGrantAdminSubtitle	Controllo completo su file, condivisioni e utenti.
userManagement.createSubmit	Crea utente
userManagement.setPasswordNavigationTitle	Password
userManagement.setPasswordNewField	Nuova password
userManagement.setPasswordPlaceholder	Almeno %lld caratteri
userManagement.setPasswordResetTitle	Reimposta password
userManagement.setPasswordSetTitle	Imposta password
userManagement.setPasswordResetIntro	Imposta una nuova password locale per %@. La sua password attuale smette di funzionare.
userManagement.setPasswordSetIntro	Assegna a %@ una password locale così può accedere senza SSO.
userManagement.toastProfileUpdated	Profilo aggiornato
userManagement.toastAdminGranted	Amministratore concesso
userManagement.toastUserRemoved	Utente rimosso
userManagement.toastUserCreated	Utente creato
userManagement.toastPasswordUpdated	Password aggiornata
userManagement.toastVolumeSaved	Volume salvato
userManagement.toastVolumeRemoved	Volume rimosso
userManagement.errorEmailRequired	L'email è obbligatoria.
userManagement.errorEmailInvalid	Inserisci un indirizzo email valido.
userManagement.errorUsernameRequired	Il nome utente è obbligatorio.
userManagement.errorEmailInUse	Email già in uso.
userManagement.errorPasswordTooShort	Usa almeno %lld caratteri.
userDetail.fallbackName	Utente
userDetail.sectionGeneralInfo	Informazioni generali
userDetail.sectionRoles	Ruoli e autorizzazioni
userDetail.sectionLocalPassword	Password locale
userDetail.sectionSSO	Single Sign-On
userDetail.sectionAssignedVolumes	Volumi assegnati
userDetail.profileDisplayNameField	Nome visualizzato
userDetail.profileDisplayNamePlaceholder	Nome visualizzato
userDetail.profileUsernameField	Nome utente
userDetail.profileUsernamePlaceholder	Nome utente
userDetail.profileEmailField	Email
userDetail.profileEmailPlaceholder	nome@esempio.com
userDetail.profileSave	Salva modifiche
userDetail.roleAdmin	Amministratore
userDetail.roleAdminSubtitle	Controllo completo su file, condivisioni e utenti.
userDetail.roleAdminLocked	Gli amministratori non possono essere declassati dall'app.
userDetail.roleGrantAdmin	Concedi amministratore
userDetail.passwordHasLocal	Questo utente accede con un'email e una password.
userDetail.passwordSSOOnly	Questo utente non ha una password locale: solo SSO.
userDetail.passwordReset	Reimposta password
userDetail.passwordSet	Imposta password
userDetail.ssoNone	Nessun provider SSO collegato.
userDetail.ssoBadge	SSO
userDetail.ssoLinked	Collegato
userDetail.dangerZoneTitle	Zona pericolosa
userDetail.dangerZoneSubtitle	Rimuovere un utente revoca subito il suo accesso. I file che possiede sul server non vengono eliminati.
userDetail.dangerZoneRemoveUser	Rimuovi utente
userDetail.volumesNone	Nessun volume assegnato.
userDetail.volumesNoneSubtitle	Questo utente vede solo lo spazio condiviso predefinito.
userDetail.volumesAssign	Assegna volume
userDetail.volumesFootnote	I volumi danno a un utente accesso a una directory fuori dallo spazio condiviso predefinito. Rimuovere un volume non elimina mai i file.
userDetail.volumeEditAccessibility	Modifica %@
userDetail.volumeRemoveAccessibility	Rimuovi %@
userDetail.removeVolumeTitle	Rimuovere il volume?
userDetail.removeVolumeMessage	%@ viene rimosso da questo utente. La directory non viene toccata.
userDetail.removeUserTitle	Rimuovere l'utente?
userDetail.removeUserMessage	%@ perde subito l'accesso. I suoi file sul server non vengono eliminati.
userDetail.volumeSheetLabelField	Etichetta
userDetail.volumeSheetLabelPlaceholder	Etichetta del volume
userDetail.volumeSheetAccessMode	Modalità di accesso
userDetail.volumeSheetDirectory	Directory
userDetail.volumeSheetSaveEdit	Salva volume
userDetail.volumeSheetSaveNew	Assegna volume
userDetail.volumeSheetTitleEdit	Modifica volume
userDetail.volumeSheetTitleNew	Assegna volume
userDetail.directoryPickerGoUp	Sali di una directory
userDetail.directoryPickerUseThis	Usa questa directory
userDetail.directoryPickerOpen	Apri %@
userDetail.directoryPickerFailed	Impossibile elencare le directory.
previewToolbar.close	Chiudi
previewToolbar.createShareLink	Crea link di condivisione
previewToolbar.download	Scarica
previewToolbar.delete	Elimina
previewToolbar.share	Condividi
previewToolbar.rename	Rinomina
login.serverQuestion	Dov'è la tua istanza di NextExplorer?
login.testConnection	Prova la connessione
login.emailField	Email
login.passwordField	Password
login.submit	Accedi
login.plaintextWarning	Questa connessione non è cifrata. La tua password e la tua sessione vengono inviate in chiaro sulla rete locale.
error.sessionExpired	La tua sessione è scaduta. Accedi di nuovo.
error.rateLimited	Troppe richieste. Riprova tra poco.
error.network	Impossibile raggiungere il server.
error.offline	Sei offline. Connettiti a internet e riprova.
error.decoding	Il server ha risposto in modo inatteso.
error.server	Errore del server (%lld).
error.forbidden	Non hai il permesso di farlo.
changePassword.navigationTitle	Cambia password
changePassword.intro	Cambia la password che usi per accedere con il tuo indirizzo email. Resterai connesso su questo dispositivo.
changePassword.fieldCurrentPassword	Password attuale
changePassword.fieldNewPasswordLabel	Nuova password
changePassword.fieldConfirmPasswordLabel	Conferma nuova password
changePassword.fieldConfirmPassword	Reinserisci la nuova password
changePassword.fieldNewPasswordPrompt	Almeno %lld caratteri
changePassword.submitButton	Aggiorna password
changePassword.success	La tua password è stata aggiornata.
changePassword.errorMinLength	Usa almeno %lld caratteri.
changePassword.errorMismatch	Le password non coincidono.
login.portHint	Aggiungi una porta (es. :3000). La maggior parte dei server casalinghi non ascolta sulla porta 80.
login.errorInvalidServer	Inserisci un indirizzo server valido.
login.errorInvalidEmail	Inserisci un indirizzo email valido.
login.errorInvalidCredentials	Nome utente o password errati.
login.errorSessionExpired	La tua sessione è scaduta. Accedi di nuovo.
login.errorIncomplete	L'accesso non è stato completato. Riprova.
login.errorUnreachable	Impossibile raggiungere quel server. Controlla l'indirizzo e riprova.
login.errorUnexpectedResponse	Risposta inattesa dal server.
login.errorKeychain	Impossibile salvare la tua sessione su questo dispositivo.
login.errorDecoding	Il server ha risposto in modo inatteso. Controlla l'indirizzo e riprova.
login.errorNoLocalAuth	Questo server non ha l'accesso con nome utente e password abilitato.
login.errorRateLimited	Troppi tentativi. Attendi qualche minuto e riprova.
login.errorServer	Il server ha riscontrato un problema (errore %lld). Riprova più tardi.
browse.nameErrorReserved	Quel nome non è consentito.
browse.nameErrorSeparators	Un nome non può contenere / o \.
browse.searchMatchLine	Riga %1$lld: %2$@
browse.searchMatchLineLabel	Riga %lld
createShare.errorPasswordRequired	Inserisci una password o disattiva la protezione con password.
filter.sheetTitle	Filtra per tipo
filter.button	Filtra
filter.all	Tutti i tipi
filter.folders	Cartelle
filter.images	Immagini
filter.videos	Video
filter.audio	Audio
filter.documents	Documenti
filter.archives	Archivi
filter.other	Altro
settings.rowLanguage	Lingua
language.navigationTitle	Lingua
language.systemDefault	Predefinito di sistema
language.systemDefaultSubtitle	Segui la lingua del dispositivo
common.copy	Copia
common.copied	Copiato
favorites.accessibilityBadge	Preferito
login.showPassword	Mostra password
login.hidePassword	Nascondi password
browse.breadcrumbHint	Apre questa cartella
login.serverInfoAccessibility	Informazioni sulla connessione a un server
login.serverInfoTitle	Cos'è un server?
login.serverInfoBody	NextExplorer si connette al tuo server NextExplorer. Un amministratore gestisce il server, crea gli account e ti comunica il suo indirizzo web. Inserisci quell'indirizzo per accedere.\n\nNon hai ancora un server? La guida alla configurazione ti mostra come ospitarne uno.
login.serverInfoGuide	Apri la guida alla configurazione
login.ssoButton	Accedi con SSO
login.errorSso	L'accesso Single Sign-On non è andato a buon fine. Riprova.
common.syncCompleted	Sincronizzazione completata
settings.toggleShowTabLabels	Mostra etichette schede
login.orDivider	o
login.errorNoAuthMethods	Questo server non ha metodi di accesso abilitati.
# Credits + tip jar
settings.creditsMadeBy	Fatto con ❤️ da Phillip Maizza
settings.creditsLikeApp	Ti piace l’app?
settings.creditsBuyCoffee	Offrimi un caffè ☕️
tipJar.title	Offrimi un caffè
tipJar.explanation	NextExplorer è gratuito e open source. Se ti è utile, una piccola offerta aiuta a mantenerlo. Grazie!
tipJar.toastThanks	Grazie per aver sostenuto il progetto! 🙏
tipJar.errorLoad	Impossibile caricare le opzioni di offerta. Riprova.
tipJar.errorPurchase	L’acquisto non è andato a buon fine. Riprova.
tipJar.pending	In attesa di approvazione. L’addebito avverrà una volta approvata.
settings.sectionAccounts	Account
settings.addAccount	Aggiungi account
settings.accountSignOut	Esci
settings.accountSignOutTitle	Uscire?
settings.accountSignOutMessage	Disconnettere %@ da questo dispositivo? Dovrai accedere di nuovo per usare questo account.
settings.accountLabel	%1$@, %2$@
settings.accountActiveLabel	%1$@, %2$@, account attivo
settings.badgeActive	Attivo

# ---- offline ----
common.deselect	Deseleziona
offline.sectionTitle	Offline
offline.settingsRow	Scarica file per l'uso offline
offline.footnote	I file scaricati si aprono anche senza connessione.
offline.available	%@ disponibili offline
offline.removeRow	Rimuovi file offline
offline.removeConfirmTitle	Rimuovere i file offline?
offline.removeConfirmMessage	Questo elimina i file salvati per l'uso offline su questo dispositivo. I tuoi file sul server non vengono modificati.
offline.removeConfirm	Rimuovi
offline.preparing	Preparazione…
offline.downloadingName	Download di %@
offline.progressCount	%lld di %lld file
offline.downloadFailed	Impossibile completare il download offline.
offline.selectionTitle	Scarica per offline
offline.selectionEmpty	Questa cartella è vuota.
offline.selectionLoadFailed	Impossibile caricare questa cartella.
offline.selectionEstimate	Download stimato
offline.selectionDownload	Scarica
offline.selectionInsufficientSpace	Spazio libero insufficiente su questo dispositivo
offline.resyncRow	Aggiorna file offline
offline.badgeAvailable	Disponibile offline
offline.manageRow	Gestisci file offline
offline.manageTitle	File offline
offline.manageEmpty	Nessun elemento è scaricato per l'uso offline.
offline.preferOfflineToggle	Riproduci le copie scaricate
offline.preferOfflineSubtitle	Usa un video scaricato invece dello streaming quando è disponibile.
offline.tunnelSpeedNote	Raggiungere il server tramite un tunnel remoto può rallentare i download. Per i file di grandi dimensioni, collegati alla stessa rete e usa l'indirizzo locale del server.
settings.rowAppearance	Aspetto
appearance.system	Sistema
appearance.light	Chiaro
appearance.dark	Scuro
browse.myFiles	I miei file
browse.myFilesSubtitle	Visibile solo a te
downloadQueue.navigationTitle	Coda di download
downloadQueue.openDownloads	Mostra download
downloadQueue.emptyList	Nessun download in corso.
downloadQueue.statusSaved	Salvato
downloadQueue.cancelAll	Annulla tutti i download
downloadQueue.barFailedOne	1 download non riuscito
downloadQueue.barFailedMany	%lld download non riusciti
downloadQueue.barTitleOne	Download di %@
downloadQueue.barTitleMany	Download di %lld elementi
downloadQueue.savedOne	Salvato in Download
downloadQueue.savedMany	%lld elementi salvati in Download
downloadQueue.bytesOf	%1$@ di %2$@
downloadQueue.timeLeft	%@ rimanenti
browse.sectionPersonal	Personale
settings.sectionSupport	Supporto
settings.rowRateApp	Valuta NextExplorer
settings.rowSupport	Aiuto e supporto
