# NextExplorer — Română (ro). key<TAB>value.
common.cancel	Anulează
settings.toggleShowHiddenFiles	Afișează fișierele ascunse
settings.toggleRenderHTML	Randează paginile HTML
settings.toggleRenderMarkdown	Randează fișierele Markdown
settings.toggleHaptics	Feedback haptic
settings.toggleDarkMode	Mod întunecat
settings.toggleShowThumbnails	Afișează miniaturile
settings.toggleShowExtensions	Afișează extensiile fișierelor
settings.toggleRemoveArchives	Elimină arhivele după descărcare
settings.toggleKeepClipboard	Păstrează elementele după lipire
settings.toggleKeepClipboardSubtitle	Elementele copiate rămân gata de lipit în alt dosar. Elementele mutate se golesc mereu.
settings.rowDateFormat	Format dată
settings.rowLanguage	Limbă
settings.rowThumbnailSize	Dimensiune miniaturi
settings.rowRemoveAllDownloads	Elimină toate descărcările
settings.rowClearCache	Golește cache-ul
settings.rowOpenSourceLicenses	Licențe open source
settings.rowPrivacyPolicy	Politică de confidențialitate
settings.rowTermsOfUse	Termeni de utilizare
settings.rowUserManagement	Gestionarea utilizatorilor
settings.rowChangePassword	Schimbă parola
settings.rowServer	Server
settings.storageFootnote	Descărcarea unui dosar îl comprimă mai întâi într-un ZIP pe server. Activează comutatorul de mai sus pentru a șterge acea arhivă de pe server după ce este salvată pe dispozitiv. Eliminarea descărcărilor sau golirea cache-ului afectează doar acest dispozitiv; nimic de pe server nu este afectat.
settings.removeAllDownloadsTitle	Elimini toate descărcările?
settings.removeAllDownloadsConfirm	Elimină toate
settings.removeAllDownloadsMessage	Aceasta șterge toate fișierele descărcate de pe acest dispozitiv. Rămân pe server.
settings.clearCacheTitle	Golești cache-ul?
settings.clearCacheConfirm	Golește
settings.clearCacheMessage	Aceasta golește previzualizările, miniaturile și listele de dosare salvate pentru utilizare offline. Nimic de pe server nu este afectat.
settings.signOutAlertTitle	Te deconectezi?
settings.signOutMessage	Va trebui să te conectezi din nou pentru a-ți accesa fișierele.
settings.signOutButton	Deconectează-te
settings.signingOut	Se deconectează…
settings.dateFormatNavigationTitle	Format dată
settings.dateFormatShowTime	Afișează ora
serverDetails.navigationTitle	Server
serverDetails.changeLogo	Schimbă pictograma
serverDetails.takePhoto	Fă o fotografie
serverDetails.chooseFromGallery	Încarcă din galerie
serverDetails.nameLabel	Numele serverului
serverDetails.namePlaceholder	Explorer
serverDetails.nameErrorEmpty	Numele serverului nu poate fi gol.
serverDetails.urlLabel	URL server
serverDetails.urlFootnote	Adresa unde este instalată instanța ta NextExplorer. Pentru a o schimba, deconectează-te și adaugă serverul din nou.
serverDetails.updateButton	Actualizează serverul
serverDetails.savedMessage	Detaliile serverului au fost actualizate.
serverDetails.logoErrorTooLarge	Acea imagine este prea mare. Alege una sub 2 MB.
serverDetails.cameraDeniedTitle	Acces la cameră dezactivat
serverDetails.cameraDeniedMessage	Activează accesul la cameră în Setări pentru a face o fotografie.
licenses.navigationTitle	Licențe open source
licenses.sectionSoftware	Software
licenses.sectionFontSoftware	Software de fonturi
licenses.labelAuthor	Autor
licenses.labelOriginalVersion	Versiune originală
licenses.labelModifiedVersion	Versiune modificată
licenses.labelReservedFontName	Nume de font rezervat
fileInfo.navigationTitleFolder	Dosar
fileInfo.rowKind	Fel
fileInfo.rowSize	Dimensiune
fileInfo.rowLocation	Locație
fileInfo.rowDateModified	Data modificării
fileInfo.rowDateCreated	Data creării
fileInfo.rowFiles	Fișiere
fileInfo.rowFolders	Dosare
fileInfo.rowTotalSize	Dimensiune totală
fileInfo.sectionServerDisk	Disc server
fileInfo.diskFreeOf	%1$@ liberi din %2$@
fileInfo.rowDimensions	Dimensiuni
fileInfo.rowCamera	Cameră
fileInfo.rowLens	Obiectiv
fileInfo.rowDateTaken	Data capturii
fileInfo.rowDuration	Durată
fileInfo.partialScan	S-a numărat o scanare parțială: acest dosar este foarte mare.
permissions.title	Permisiuni
permissions.sectionMode	Mod
permissions.numericLabel	Numeric
permissions.applyToEnclosed	Aplică la elementele conținute
permissions.applyPermissions	Aplică permisiunile
permissions.sectionOwnership	Proprietate
permissions.fieldOwner	Proprietar
permissions.fieldGroup	Grup
permissions.ownershipNote	Schimbarea proprietății necesită de obicei privilegii de root sau administrator pe server.
permissions.applyOwnership	Aplică proprietatea
permissions.scopeOwner	Proprietar
permissions.scopeGroup	Grup
permissions.scopeOthers	Alții
permissions.rightRead	Citire
permissions.rightWrite	Scriere
permissions.rightExecute	Executare
archive.emptyFolder	Acest dosar este gol.
archive.openFailed	Nu s-a putut deschide acest fișier.
archive.openArchiveFailed	Nu s-a putut deschide această arhivă.
archive.entryTooLarge	Acest element este prea mare pentru a fi deschis.
gallery.loadFailed	Nu s-a putut încărca această imagine.
textPreview.saved	Salvat
textPreview.loadFailed	Nu s-a putut încărca acest fișier. Verifică conexiunea și încearcă din nou.
userManagement.navigationTitle	Gestionarea utilizatorilor
userManagement.searchPrompt	Caută utilizatori
userManagement.createUser	Creează utilizator
userManagement.badgeAdmin	Administrator
userManagement.emptyList	Niciun utilizator încă.
userManagement.noSearchMatches	Niciun utilizator nu corespunde cu „%@”.
userManagement.loadFailed	Nu s-a putut contacta serverul.
userManagement.sortType	Tip
userManagement.sortName	Nume
userManagement.sortEmail	E-mail
userManagement.tabProfile	Profil
userManagement.tabSecurity	Securitate
userManagement.tabVolumes	Volume
userManagement.createNavigationTitle	Creează utilizator
userManagement.createEmailField	E-mail
userManagement.createEmailPlaceholder	nume@exemplu.com
userManagement.createUsernameField	Nume de utilizator (opțional)
userManagement.createUsernamePlaceholder	Derivat din e-mail
userManagement.createPasswordField	Parolă
userManagement.createPasswordPlaceholder	Cel puțin %lld caractere
userManagement.createGrantAdminToggle	Acordă acces de administrator
userManagement.createGrantAdminSubtitle	Control complet asupra fișierelor, partajărilor și utilizatorilor.
userManagement.createSubmit	Creează utilizator
userManagement.setPasswordNavigationTitle	Parolă
userManagement.setPasswordNewField	Parolă nouă
userManagement.setPasswordPlaceholder	Cel puțin %lld caractere
userManagement.setPasswordResetTitle	Resetează parola
userManagement.setPasswordSetTitle	Setează parola
userManagement.setPasswordResetIntro	Setează o parolă locală nouă pentru %@. Parola actuală va înceta să funcționeze.
userManagement.setPasswordSetIntro	Dă-i lui %@ o parolă locală pentru a se putea conecta fără SSO.
userManagement.toastProfileUpdated	Profil actualizat
userManagement.toastAdminGranted	Administrator acordat
userManagement.toastUserRemoved	Utilizator eliminat
userManagement.toastUserCreated	Utilizator creat
userManagement.toastPasswordUpdated	Parolă actualizată
userManagement.toastVolumeSaved	Volum salvat
userManagement.toastVolumeRemoved	Volum eliminat
userManagement.errorEmailRequired	E-mailul este obligatoriu.
userManagement.errorEmailInvalid	Introdu o adresă de e-mail validă.
userManagement.errorUsernameRequired	Numele de utilizator este obligatoriu.
userManagement.errorEmailInUse	E-mailul este deja folosit.
userManagement.errorPasswordTooShort	Folosește cel puțin %lld caractere.
userDetail.fallbackName	Utilizator
userDetail.sectionGeneralInfo	Informații generale
userDetail.sectionRoles	Roluri și permisiuni
userDetail.sectionLocalPassword	Parolă locală
userDetail.sectionSSO	Autentificare unică
userDetail.sectionAssignedVolumes	Volume atribuite
userDetail.profileDisplayNameField	Nume afișat
userDetail.profileDisplayNamePlaceholder	Nume afișat
userDetail.profileUsernameField	Nume de utilizator
userDetail.profileUsernamePlaceholder	Nume de utilizator
userDetail.profileEmailField	E-mail
userDetail.profileEmailPlaceholder	nume@exemplu.com
userDetail.profileSave	Salvează modificările
userDetail.roleAdmin	Administrator
userDetail.roleAdminSubtitle	Control complet asupra fișierelor, partajărilor și utilizatorilor.
userDetail.roleAdminLocked	Administratorii nu pot fi retrogradați din aplicație.
userDetail.roleGrantAdmin	Acordă administrator
userDetail.passwordHasLocal	Acest utilizator se conectează cu un e-mail și o parolă.
userDetail.passwordSSOOnly	Acest utilizator nu are parolă locală: doar SSO.
userDetail.passwordReset	Resetează parola
userDetail.passwordSet	Setează parola
userDetail.ssoNone	Niciun furnizor SSO conectat.
userDetail.ssoBadge	SSO
userDetail.ssoLinked	Conectat
userDetail.dangerZoneTitle	Zonă periculoasă
userDetail.dangerZoneSubtitle	Eliminarea unui utilizator îi revocă accesul imediat. Fișierele pe care le deține pe server nu sunt șterse.
userDetail.dangerZoneRemoveUser	Elimină utilizatorul
userDetail.volumesNone	Niciun volum atribuit.
userDetail.volumesNoneSubtitle	Acest utilizator vede doar spațiul partajat implicit.
userDetail.volumesAssign	Atribuie volum
userDetail.volumesFootnote	Volumele oferă unui utilizator acces la un director în afara spațiului partajat implicit. Eliminarea unui volum nu șterge niciodată fișiere.
userDetail.volumeEditAccessibility	Editează %@
userDetail.volumeRemoveAccessibility	Elimină %@
userDetail.removeVolumeTitle	Elimini volumul?
userDetail.removeVolumeMessage	%@ este dezatribuit de la acest utilizator. Directorul în sine nu este afectat.
userDetail.removeUserTitle	Elimini utilizatorul?
userDetail.removeUserMessage	%@ pierde accesul imediat. Fișierele sale de pe server nu sunt șterse.
userDetail.volumeSheetLabelField	Etichetă
userDetail.volumeSheetLabelPlaceholder	Eticheta volumului
userDetail.volumeSheetAccessMode	Mod de acces
userDetail.volumeSheetDirectory	Director
userDetail.volumeSheetSaveEdit	Salvează volumul
userDetail.volumeSheetSaveNew	Atribuie volum
userDetail.volumeSheetTitleEdit	Editează volumul
userDetail.volumeSheetTitleNew	Atribuie volum
userDetail.directoryPickerGoUp	Urcă un director
userDetail.directoryPickerUseThis	Folosește acest director
userDetail.directoryPickerOpen	Deschide %@
userDetail.directoryPickerFailed	Nu s-au putut lista directoarele.
previewToolbar.close	Închide
previewToolbar.createShareLink	Creează link de partajare
previewToolbar.download	Descarcă
previewToolbar.delete	Șterge
previewToolbar.share	Partajează
previewToolbar.rename	Redenumește
login.serverQuestion	Unde se află instanța ta NextExplorer?
login.testConnection	Testează conexiunea
login.emailField	E-mail
login.passwordField	Parolă
login.submit	Conectează-te
login.plaintextWarning	Această conexiune nu este criptată. Parola și sesiunea ta sunt trimise în clar prin rețeaua locală.
error.sessionExpired	Sesiunea ta a expirat. Conectează-te din nou.
error.rateLimited	Prea multe cereri. Încearcă din nou în scurt timp.
error.network	Nu s-a putut contacta serverul.
error.offline	Ești offline. Conectează-te la internet și încearcă din nou.
error.decoding	Serverul a răspuns neașteptat.
error.server	Eroare de server (%lld).
error.forbidden	Nu ai permisiunea să faci asta.
changePassword.navigationTitle	Schimbă parola
changePassword.intro	Schimbă parola pe care o folosești pentru a te conecta cu adresa ta de e-mail. Vei rămâne conectat pe acest dispozitiv.
changePassword.fieldCurrentPassword	Parola actuală
changePassword.fieldNewPasswordLabel	Parolă nouă
changePassword.fieldConfirmPasswordLabel	Confirmă parola nouă
changePassword.fieldConfirmPassword	Reintrodu parola nouă
changePassword.fieldNewPasswordPrompt	Cel puțin %lld caractere
changePassword.submitButton	Actualizează parola
changePassword.success	Parola ta a fost actualizată.
changePassword.errorMinLength	Folosește cel puțin %lld caractere.
changePassword.errorMismatch	Parolele nu se potrivesc.
login.portHint	Adaugă un port (de ex. :3000). Majoritatea serverelor de acasă nu ascultă pe portul 80.
login.errorInvalidServer	Introdu o adresă de server validă.
login.errorInvalidEmail	Introdu o adresă de e-mail validă.
login.errorInvalidCredentials	Nume de utilizator sau parolă incorecte.
login.errorSessionExpired	Sesiunea ta a expirat. Te rugăm să te conectezi din nou.
login.errorIncomplete	Conectarea nu s-a finalizat. Te rugăm să încerci din nou.
login.errorUnreachable	Nu s-a putut contacta acel server. Verifică adresa și încearcă din nou.
login.errorUnexpectedResponse	Răspuns neașteptat de la server.
login.errorKeychain	Nu s-a putut salva sesiunea pe acest dispozitiv.
login.errorDecoding	Serverul a răspuns neașteptat. Verifică adresa și încearcă din nou.
login.errorNoLocalAuth	Acest server nu are activată conectarea cu nume de utilizator și parolă.
login.errorRateLimited	Prea multe încercări. Așteaptă câteva minute și încearcă din nou.
login.errorServer	Serverul a întâmpinat o problemă (eroare %lld). Încearcă din nou mai târziu.
browse.nameErrorReserved	Acest nume nu este permis.
browse.nameErrorSeparators	Un nume nu poate conține / sau \.
browse.searchMatchLine	Linia %1$lld: %2$@
browse.searchMatchLineLabel	Linia %lld
createShare.errorPasswordRequired	Introdu o parolă sau dezactivează protecția cu parolă.
filter.sheetTitle	Filtrează după tip
filter.button	Filtrează
filter.all	Toate tipurile
filter.folders	Dosare
filter.images	Imagini
filter.videos	Videoclipuri
filter.audio	Audio
filter.documents	Documente
filter.archives	Arhive
filter.other	Altele
language.navigationTitle	Limbă
language.systemDefault	Implicit sistem
language.systemDefaultSubtitle	Urmează limba dispozitivului
