# NextExplorer — Deutsch (de). key<TAB>value.
common.cancel	Abbrechen
settings.removeAllDownloadsMessage	Dies löscht jede geladene Datei von diesem Gerät. Sie bleiben auf dem Server.
settings.clearCacheTitle	Cache leeren?
settings.clearCacheConfirm	Leeren
settings.clearCacheMessage	Dies leert zwischengespeicherte Vorschauen, Miniaturen und offline gesicherte Ordnerlisten. Auf dem Server wird nichts berührt.
settings.signOutAlertTitle	Abmelden?
settings.signOutMessage	Du musst dich erneut anmelden, um auf deine Dateien zuzugreifen.
settings.signOutButton	Abmelden
settings.signingOut	Wird abgemeldet…
settings.dateFormatNavigationTitle	Datumsformat
settings.dateFormatShowTime	Uhrzeit anzeigen
serverDetails.navigationTitle	Server
serverDetails.changeLogo	Symbol ändern
serverDetails.takePhoto	Foto aufnehmen
serverDetails.chooseFromGallery	Aus Galerie hochladen
serverDetails.nameLabel	Servername
serverDetails.namePlaceholder	Explorer
serverDetails.nameErrorEmpty	Der Servername darf nicht leer sein.
serverDetails.urlLabel	Server-URL
serverDetails.urlFootnote	Die Adresse, unter der deine NextExplorer-Instanz installiert ist. Zum Ändern melde dich ab und füge den Server erneut hinzu.
serverDetails.updateButton	Server aktualisieren
serverDetails.savedMessage	Serverdetails aktualisiert.
serverDetails.logoErrorTooLarge	Dieses Bild ist zu groß. Wähle eines unter 2 MB.
serverDetails.cameraDeniedTitle	Kamerazugriff aus
serverDetails.cameraDeniedMessage	Aktiviere den Kamerazugriff in den Einstellungen, um ein Foto aufzunehmen.
licenses.navigationTitle	Open-Source-Lizenzen
licenses.sectionSoftware	Software
licenses.sectionFontSoftware	Schriftsoftware
licenses.labelAuthor	Autor
licenses.labelOriginalVersion	Originalversion
licenses.labelModifiedVersion	Geänderte Version
licenses.labelReservedFontName	Reservierter Schriftname
fileInfo.navigationTitleFolder	Ordner
fileInfo.rowKind	Art
fileInfo.rowSize	Größe
fileInfo.rowLocation	Ort
fileInfo.rowDateModified	Änderungsdatum
fileInfo.rowDateCreated	Erstellungsdatum
fileInfo.rowFiles	Dateien
fileInfo.rowFolders	Ordner
fileInfo.rowTotalSize	Gesamtgröße
fileInfo.sectionServerDisk	Serverfestplatte
fileInfo.diskFreeOf	%1$@ frei von %2$@
fileInfo.rowDimensions	Abmessungen
fileInfo.rowCamera	Kamera
fileInfo.rowLens	Objektiv
fileInfo.rowDateTaken	Aufnahmedatum
fileInfo.rowDuration	Dauer
fileInfo.partialScan	Teilweiser Scan gezählt: Dieser Ordner ist sehr groß.
permissions.title	Berechtigungen
permissions.sectionMode	Modus
permissions.numericLabel	Numerisch
permissions.applyToEnclosed	Auf enthaltene Objekte anwenden
permissions.applyPermissions	Berechtigungen anwenden
permissions.sectionOwnership	Eigentum
permissions.fieldOwner	Eigentümer
permissions.fieldGroup	Gruppe
permissions.ownershipNote	Das Ändern des Eigentums erfordert auf dem Server meist Root- oder Administratorrechte.
permissions.applyOwnership	Eigentum anwenden
permissions.scopeOwner	Eigentümer
permissions.scopeGroup	Gruppe
permissions.scopeOthers	Andere
permissions.rightRead	Lesen
permissions.rightWrite	Schreiben
permissions.rightExecute	Ausführen
archive.emptyFolder	Dieser Ordner ist leer.
archive.openFailed	Diese Datei konnte nicht geöffnet werden.
archive.openArchiveFailed	Dieses Archiv konnte nicht geöffnet werden.
archive.entryTooLarge	Dieses Objekt ist zu groß, um es zu öffnen.
gallery.loadFailed	Dieses Bild konnte nicht geladen werden.
textPreview.saved	Gesichert
textPreview.loadFailed	Diese Datei konnte nicht geladen werden. Prüfe deine Verbindung und versuche es erneut.
userManagement.navigationTitle	Benutzerverwaltung
userManagement.searchPrompt	Benutzer suchen
userManagement.createUser	Benutzer erstellen
userManagement.badgeAdmin	Admin
userManagement.emptyList	Noch keine Benutzer.
userManagement.noSearchMatches	Keine Benutzer passen zu „%@“.
userManagement.loadFailed	Server konnte nicht erreicht werden.
userManagement.sortType	Typ
userManagement.sortName	Name
userManagement.sortEmail	E-Mail
userManagement.tabProfile	Profil
userManagement.tabSecurity	Sicherheit
userManagement.tabVolumes	Volumes
userManagement.createNavigationTitle	Benutzer erstellen
userManagement.createEmailField	E-Mail
userManagement.createEmailPlaceholder	name@beispiel.com
userManagement.createUsernameField	Benutzername (optional)
userManagement.createUsernamePlaceholder	Aus E-Mail abgeleitet
userManagement.createPasswordField	Passwort
userManagement.createPasswordPlaceholder	Mindestens %lld Zeichen
userManagement.createGrantAdminToggle	Administratorzugriff gewähren
userManagement.createGrantAdminSubtitle	Vollständige Kontrolle über Dateien, Freigaben und Benutzer.
userManagement.createSubmit	Benutzer erstellen
userManagement.setPasswordNavigationTitle	Passwort
userManagement.setPasswordNewField	Neues Passwort
userManagement.setPasswordPlaceholder	Mindestens %lld Zeichen
userManagement.setPasswordResetTitle	Passwort zurücksetzen
userManagement.setPasswordSetTitle	Passwort festlegen
userManagement.setPasswordResetIntro	Lege ein neues lokales Passwort für %@ fest. Das aktuelle Passwort funktioniert dann nicht mehr.
userManagement.setPasswordSetIntro	Gib %@ ein lokales Passwort, damit die Anmeldung ohne SSO möglich ist.
userManagement.toastProfileUpdated	Profil aktualisiert
userManagement.toastAdminGranted	Admin gewährt
userManagement.toastUserRemoved	Benutzer entfernt
userManagement.toastUserCreated	Benutzer erstellt
userManagement.toastPasswordUpdated	Passwort aktualisiert
userManagement.toastVolumeSaved	Volume gesichert
userManagement.toastVolumeRemoved	Volume entfernt
userManagement.errorEmailRequired	E-Mail ist erforderlich.
userManagement.errorEmailInvalid	Gib eine gültige E-Mail-Adresse ein.
userManagement.errorUsernameRequired	Benutzername ist erforderlich.
userManagement.errorEmailInUse	E-Mail wird bereits verwendet.
userManagement.errorPasswordTooShort	Verwende mindestens %lld Zeichen.
userDetail.fallbackName	Benutzer
userDetail.sectionGeneralInfo	Allgemeine Infos
userDetail.sectionRoles	Rollen & Berechtigungen
userDetail.sectionLocalPassword	Lokales Passwort
userDetail.sectionSSO	Single Sign-On
userDetail.sectionAssignedVolumes	Zugewiesene Volumes
userDetail.profileDisplayNameField	Anzeigename
userDetail.profileDisplayNamePlaceholder	Anzeigename
userDetail.profileUsernameField	Benutzername
userDetail.profileUsernamePlaceholder	Benutzername
userDetail.profileEmailField	E-Mail
userDetail.profileEmailPlaceholder	name@beispiel.com
userDetail.profileSave	Änderungen sichern
userDetail.roleAdmin	Administrator
userDetail.roleAdminSubtitle	Vollständige Kontrolle über Dateien, Freigaben und Benutzer.
userDetail.roleAdminLocked	Administratoren können in der App nicht herabgestuft werden.
userDetail.roleGrantAdmin	Admin gewähren
userDetail.passwordHasLocal	Dieser Benutzer meldet sich mit E-Mail und Passwort an.
userDetail.passwordSSOOnly	Dieser Benutzer hat kein lokales Passwort: nur SSO.
userDetail.passwordReset	Passwort zurücksetzen
userDetail.passwordSet	Passwort festlegen
userDetail.ssoNone	Keine verknüpften SSO-Anbieter.
userDetail.ssoBadge	SSO
userDetail.ssoLinked	Verknüpft
userDetail.dangerZoneTitle	Gefahrenzone
userDetail.dangerZoneSubtitle	Das Entfernen eines Benutzers widerruft sofort dessen Zugriff. Dateien, die er auf dem Server besitzt, werden nicht gelöscht.
userDetail.dangerZoneRemoveUser	Benutzer entfernen
userDetail.volumesNone	Keine Volumes zugewiesen.
userDetail.volumesNoneSubtitle	Dieser Benutzer sieht nur den standardmäßigen freigegebenen Bereich.
userDetail.volumesAssign	Volume zuweisen
userDetail.volumesFootnote	Volumes geben einem Benutzer Zugriff auf ein Verzeichnis außerhalb des standardmäßigen freigegebenen Bereichs. Das Entfernen eines Volumes löscht niemals Dateien.
userDetail.volumeEditAccessibility	%@ bearbeiten
userDetail.volumeRemoveAccessibility	%@ entfernen
userDetail.removeVolumeTitle	Volume entfernen?
userDetail.removeVolumeMessage	%@ wird von diesem Benutzer entfernt. Das Verzeichnis selbst wird nicht berührt.
userDetail.removeUserTitle	Benutzer entfernen?
userDetail.removeUserMessage	%@ verliert sofort den Zugriff. Seine Dateien auf dem Server werden nicht gelöscht.
userDetail.volumeSheetLabelField	Bezeichnung
userDetail.volumeSheetLabelPlaceholder	Volume-Bezeichnung
userDetail.volumeSheetAccessMode	Zugriffsmodus
userDetail.volumeSheetDirectory	Verzeichnis
userDetail.volumeSheetSaveEdit	Volume sichern
userDetail.volumeSheetSaveNew	Volume zuweisen
userDetail.volumeSheetTitleEdit	Volume bearbeiten
userDetail.volumeSheetTitleNew	Volume zuweisen
userDetail.directoryPickerGoUp	Ein Verzeichnis nach oben
userDetail.directoryPickerUseThis	Dieses Verzeichnis verwenden
userDetail.directoryPickerOpen	%@ öffnen
userDetail.directoryPickerFailed	Verzeichnisse konnten nicht aufgelistet werden.
previewToolbar.close	Schließen
previewToolbar.createShareLink	Freigabelink erstellen
previewToolbar.download	Laden
previewToolbar.delete	Löschen
previewToolbar.share	Teilen
previewToolbar.rename	Umbenennen
login.serverQuestion	Wo befindet sich deine NextExplorer-Instanz?
login.testConnection	Verbindung testen
login.emailField	E-Mail
login.passwordField	Passwort
login.submit	Anmelden
login.plaintextWarning	Diese Verbindung ist nicht verschlüsselt. Dein Passwort und deine Sitzung werden im Klartext über das lokale Netzwerk gesendet.
error.sessionExpired	Deine Sitzung ist abgelaufen. Melde dich erneut an.
error.rateLimited	Zu viele Anfragen. Versuche es in Kürze erneut.
error.network	Server konnte nicht erreicht werden.
error.offline	Du bist offline. Verbinde dich mit dem Internet und versuche es erneut.
error.decoding	Der Server hat unerwartet geantwortet.
error.server	Serverfehler (%lld).
error.forbidden	Du hast keine Berechtigung dafür.
changePassword.navigationTitle	Passwort ändern
changePassword.intro	Ändere das Passwort, mit dem du dich per E-Mail-Adresse anmeldest. Du bleibst auf diesem Gerät angemeldet.
changePassword.fieldCurrentPassword	Aktuelles Passwort
changePassword.fieldNewPasswordLabel	Neues Passwort
changePassword.fieldConfirmPasswordLabel	Neues Passwort bestätigen
changePassword.fieldConfirmPassword	Neues Passwort erneut eingeben
changePassword.fieldNewPasswordPrompt	Mindestens %lld Zeichen
changePassword.submitButton	Passwort aktualisieren
changePassword.success	Dein Passwort wurde aktualisiert.
changePassword.errorMinLength	Verwende mindestens %lld Zeichen.
changePassword.errorMismatch	Die Passwörter stimmen nicht überein.
login.portHint	Füge einen Port hinzu (z. B. :3000). Die meisten Heimserver hören nicht auf dem einfachen Port 80.
login.errorInvalidServer	Gib eine gültige Serveradresse ein.
login.errorInvalidEmail	Gib eine gültige E-Mail-Adresse ein.
login.errorInvalidCredentials	Falscher Benutzername oder falsches Passwort.
login.errorSessionExpired	Deine Sitzung ist abgelaufen. Bitte melde dich erneut an.
login.errorIncomplete	Die Anmeldung wurde nicht abgeschlossen. Bitte versuche es erneut.
login.errorUnreachable	Dieser Server konnte nicht erreicht werden. Prüfe die Adresse und versuche es erneut.
login.errorUnexpectedResponse	Unerwartete Antwort vom Server.
login.errorKeychain	Deine Sitzung konnte auf diesem Gerät nicht gesichert werden.
login.errorDecoding	Der Server hat unerwartet geantwortet. Prüfe die Adresse und versuche es erneut.
login.errorNoLocalAuth	Auf diesem Server ist die Anmeldung mit Benutzername und Passwort nicht aktiviert.
login.errorRateLimited	Zu viele Versuche. Bitte warte einige Minuten und versuche es erneut.
login.errorServer	Auf dem Server ist ein Problem aufgetreten (Fehler %lld). Bitte versuche es später erneut.
browse.nameErrorReserved	Dieser Name ist nicht zulässig.
browse.nameErrorSeparators	Ein Name darf kein / oder \ enthalten.
browse.searchMatchLine	Zeile %1$lld: %2$@
browse.searchMatchLineLabel	Zeile %lld
createShare.errorPasswordRequired	Gib ein Passwort ein oder deaktiviere den Passwortschutz.
filter.sheetTitle	Nach Typ filtern
filter.button	Filtern
filter.all	Alle Typen
filter.folders	Ordner
filter.images	Bilder
filter.videos	Videos
filter.audio	Audio
filter.documents	Dokumente
filter.archives	Archive
filter.other	Andere
language.navigationTitle	Sprache
language.systemDefault	Systemstandard
language.systemDefaultSubtitle	Der Gerätesprache folgen
common.copy	Kopieren
common.copied	Kopiert
favorites.accessibilityBadge	Favorit
login.showPassword	Passwort anzeigen
login.hidePassword	Passwort verbergen
browse.breadcrumbHint	Öffnet diesen Ordner
login.serverInfoAccessibility	Über die Verbindung zu einem Server
login.serverInfoTitle	Was ist ein Server?
login.serverInfoBody	NextExplorer verbindet sich mit deinem eigenen NextExplorer-Server. Ein Administrator betreibt den Server, erstellt Konten und teilt dir seine Webadresse mit. Gib diese Adresse ein, um dich anzumelden.\n\nNoch kein Server? Die Einrichtungsanleitung zeigt dir, wie du einen selbst hostest.
login.serverInfoGuide	Einrichtungsanleitung öffnen
login.ssoButton	Mit SSO anmelden
login.errorSso	Single Sign-On wurde nicht abgeschlossen. Bitte versuche es erneut.
common.syncCompleted	Synchronisierung abgeschlossen
settings.toggleShowTabLabels	Tab-Beschriftungen anzeigen
login.orDivider	oder
login.errorNoAuthMethods	Für diesen Server sind keine Anmeldemethoden aktiviert.
# Credits + tip jar
settings.creditsMadeBy	Mit ❤️ von Phillip Maizza
